species,canonicalName,countries_present
Phlegmariurus creber (Alderw.) A.R.Field & Bostock,Phlegmariurus creber,NA
Phlegmariurus dalhousieanus (Spring) A.R.Field & Bostock,Phlegmariurus dalhousieanus,NA
Phlegmariurus delbrueckii (Herter) A.R.Field & Bostock,Phlegmariurus delbrueckii,NA
Phlegmariurus filiformis (Sw.) W.H.Wagner,Phlegmariurus filiformis,NA
Phlegmariurus lockyeri (D.L.Jones & B.Gray) A.R.Field & Bostock,Phlegmariurus lockyeri,NA
Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus phlegmaria,NA
Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus squarrosus,NA
Phlegmariurus tetrastichoides (A.R.Field & Bostock) A.R.Field & Bostock,Phlegmariurus tetrastichoides,NA
Phlegmariurus varius (R.Br.) A.R.Field & Bostock,Phlegmariurus varius,NA
Phylloglossum drummondii Kunze,Phylloglossum drummondii,NA
Selaginella alutacia Spring,Selaginella alutacia,NA
Selaginella andrewsii Jermy & J.S.Holmes,Selaginella andrewsii,NA
Selaginella australiensis Baker,Selaginella australiensis,NA
Selaginella brisbanensis F.M.Bailey,Selaginella brisbanensis,NA
Selaginella ciliaris (Retz.) Spring,Selaginella ciliaris,NA
Selaginella gracillima (Kunze) Spring ex Salomon,Selaginella gracillima,NA
Selaginella longiciliata Hieron.,Selaginella longiciliata,NA
Selaginella longipinna Warb.,Selaginella longipinna,NA
Selaginella pygmaea (Kaulf.) Alston,Selaginella pygmaea,NA
Selaginella uliginosa (Labill.) Spring,Selaginella uliginosa,NA
Aciphylla glacialis (F.Muell.) Benth.,Aciphylla glacialis,NA
Aciphylla simplicifolia (F.Muell.) Benth.,Aciphylla simplicifolia,NA
Actinotus bellidioides (Hook.f.) Benth.,Actinotus bellidioides,NA
Actinotus forsythii Maiden & Betche,Actinotus forsythii,NA
Actinotus gibbonsii F.Muell.,Actinotus gibbonsii,NA
Actinotus glomeratus Benth.,Actinotus glomeratus,NA
Actinotus helianthi Labill.,Actinotus helianthi,NA
Actinotus humilis (F.Muell. & Tate) Domin,Actinotus humilis,NA
Actinotus laxus Keighery,Actinotus laxus,NA
Actinotus leucocephalus Benth.,Actinotus leucocephalus,NA
Actinotus minor (Sm.) Tratt.,Actinotus minor,NA
Actinotus moorei F.Muell. ex Rodway,Actinotus moorei,NA
Actinotus omnifertilis (F.Muell.) Benth.,Actinotus omnifertilis,NA
Actinotus paddisonii R.T.Baker,Actinotus paddisonii,NA
Actinotus periculosus Henwood,Actinotus periculosus,NA
Actinotus repens Keighery ex Henwood,Actinotus repens,NA
Actinotus rhomboideus (Turcz.) Benth.,Actinotus rhomboideus,NA
Actinotus schwarzii F.Muell.,Actinotus schwarzii,NA
Actinotus suffocatus (Hook.f.) Rodway,Actinotus suffocatus,NA
Actinotus superbus O.H.Sarg.,Actinotus superbus,NA
Actinotus whicheranus Keighery,Actinotus whicheranus,NA
Anisotome procumbens (F.Muell.) C.J.Webb,Anisotome procumbens,NA
Apium annuum P.S.Short,Apium annuum,NA
Apium insulare P.S.Short,Apium insulare,NA
Apium prostratum Labill. ex Vent.,Apium prostratum,NA
Azorella fragosea (F.Muell.) Druce,Azorella fragosea,NA
Azorella macquariensis Orchard,Azorella macquariensis,NA
Azorella polaris (Hombr. & Jacquinot ex Hook.f.) G.M.Plunkett & A.N.Nicolas,Azorella polaris,NA
Azorella selago Hook.f.,Azorella selago,NA
Berula erecta (Huds.) Coville,Berula erecta,NA
Brachyscias verecundus J.M.Hart & Henwood,Brachyscias verecundus,NA
Centella asiatica (L.) Urb.,Centella asiatica,NA
Centella cordifolia (Hook.f.) Nannf.,Centella cordifolia,NA
Centella uniflora (Colenso) Nannf.,Centella uniflora,NA
Chlaenosciadium gardneri C.Norman,Chlaenosciadium gardneri,NA
"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.",Daucus glochidiatus,NA
Dichosciadium ranunculaceum (F.Muell.) Domin,Dichosciadium ranunculaceum,NA
Diplaspis cordifolia (Hook.) Hook.f.,Diplaspis cordifolia,NA
Diplaspis hydrocotyle Hook.f.,Diplaspis hydrocotyle,NA
Diplaspis nivis Van den Borre & Henwood,Diplaspis nivis,NA
Eryngium expansum F.Muell. ex Klatt,Eryngium expansum,NA
Eryngium fontanum A.E.Holland & E.J.Thomps.,Eryngium fontanum,NA
Eryngium ovinum A.Cunn.,Eryngium ovinum,NA
Eryngium paludosum (C.Moore) P.W.Michael,Eryngium paludosum,NA
Eryngium pinnatifidum Bunge,Eryngium pinnatifidum,NA
Eryngium plantagineum F.Muell.,Eryngium plantagineum,NA
Eryngium supinum J.M.Black,Eryngium supinum,NA
Eryngium vesiculosum Labill.,Eryngium vesiculosum,NA
Gingidia algens (F.Muell.) J.W.Dawson,Gingidia algens,NA
Gingidia harveyana (F.Muell.) J.W.Dawson,Gingidia harveyana,NA
Gingidia rupicola I.Telford & J.J.Bruhl,Gingidia rupicola,NA
Homalosciadium homalocarpum (F.Muell.) H.Eichler,Homalosciadium homalocarpum,NA
Lilaeopsis brisbanica A.R.Bean,Lilaeopsis brisbanica,NA
Lilaeopsis polyantha (Gand.) H.Eichler,Lilaeopsis polyantha,NA
Neosciadium glochidiatum (Benth.) Domin,Neosciadium glochidiatum,NA
Oenanthe javanica DC.,Oenanthe javanica,NA
Oreomyrrhis argentea (Hook.f.) Hook.f.,Oreomyrrhis argentea,NA
Oreomyrrhis brevipes Mathias & Constance,Oreomyrrhis brevipes,NA
Oreomyrrhis ciliata Hook.f.,Oreomyrrhis ciliata,NA
Oreomyrrhis eriopoda (DC.) Hook.f.,Oreomyrrhis eriopoda,NA
Oreomyrrhis gunnii Mathias & Constance,Oreomyrrhis gunnii,NA
Oreomyrrhis pulvinifica F.Muell.,Oreomyrrhis pulvinifica,NA
Oreomyrrhis sessiliflora Hook.f.,Oreomyrrhis sessiliflora,NA
Oschatzia cuneifolia (F.Muell.) Drude,Oschatzia cuneifolia,NA
Oschatzia saxifraga (Hook.f.) Walp.,Oschatzia saxifraga,NA
Pentapeltis peltigera (Hook.) Bunge,Pentapeltis peltigera,NA
Pentapeltis silvatica (Diels) Domin,Pentapeltis silvatica,NA
Platysace arnhemica Specht,Platysace arnhemica,NA
Platysace cirrosa Bunge,Platysace cirrosa,NA
Platysace clelandii (Maiden & Betche) L.A.S.Johnson,Platysace clelandii,NA
Platysace commutata (Turcz.) C.Norman,Platysace commutata,NA
Platysace compressa (Labill.) C.Norman,Platysace compressa,NA
Platysace deflexa (Turcz.) C.Norman,Platysace deflexa,NA
Platysace effusa (Turcz.) C.Norman,Platysace effusa,NA
Platysace ericoides (Sieber ex Spreng.) C.Norman,Platysace ericoides,NA
Platysace filiformis (Bunge) C.Norman,Platysace filiformis,NA
Platysace haplosciadia (Benth.) C.Norman,Platysace haplosciadia,NA
Platysace heterophylla (Benth.) C.Norman,Platysace heterophylla,NA
Platysace juncea (Bunge) C.Norman,Platysace juncea,NA
Platysace lanceolata (Labill.) Druce,Platysace lanceolata,NA
Platysace linearifolia (Cav.) C.Norman,Platysace linearifolia,NA
Platysace maxwellii (F.Muell.) C.Norman,Platysace maxwellii,NA
Platysace pendula (Benth.) C.Norman,Platysace pendula,NA
Platysace ramosissima (Benth.) C.Norman,Platysace ramosissima,NA
Platysace saxatilis Keighery,Platysace saxatilis,NA
Platysace stephensonii (Turcz.) C.Norman,Platysace stephensonii,NA
Platysace tenuissima (Benth.) C.Norman,Platysace tenuissima,NA
Platysace trachymenioides F.Muell.,Platysace trachymenioides,NA
Platysace valida (F.Muell.) F.Muell.,Platysace valida,NA
Platysace xerophila (E.Pritz.) L.A.S.Johnson,Platysace xerophila,NA
Schoenolaena juncea Bunge,Schoenolaena juncea,NA
Xanthosia atkinsoniana F.Muell.,Xanthosia atkinsoniana,NA
Xanthosia candida (Benth.) Steud.,Xanthosia candida,NA
Xanthosia ciliata Hook.,Xanthosia ciliata,NA
Xanthosia collina Keighery,Xanthosia collina,NA
Xanthosia dissecta Hook.f.,Xanthosia dissecta,NA
Xanthosia eichleri J.M.Hart & Henwood,Xanthosia eichleri,NA
Xanthosia fruticulosa Benth.,Xanthosia fruticulosa,NA
Xanthosia huegelii (Benth.) Steud.,Xanthosia huegelii,NA
Xanthosia kochii (E.Pritz.) J.M.Hart & Henwood,Xanthosia kochii,NA
Xanthosia leiophylla F.Muell. ex Klatt,Xanthosia leiophylla,NA
Xanthosia peduncularis Benth.,Xanthosia peduncularis,NA
Xanthosia pilosa Rudge,Xanthosia pilosa,NA
Xanthosia rotundifolia DC.,Xanthosia rotundifolia,NA
Xanthosia scopulicola J.M.Hart & Henwood,Xanthosia scopulicola,NA
Xanthosia singuliflora F.Muell.,Xanthosia singuliflora,NA
Xanthosia stellata J.M.Hart & Henwood,Xanthosia stellata,NA
Xanthosia tasmanica Domin,Xanthosia tasmanica,NA
Xanthosia ternifolia J.M.Hart & Henwood,Xanthosia ternifolia,NA
Xanthosia tomentosa A.S.George,Xanthosia tomentosa,NA
Xanthosia tridentata DC.,Xanthosia tridentata,NA
Astrotricha asperifolia F.Muell. ex Klatt,Astrotricha asperifolia,NA
Astrotricha biddulphiana F.Muell.,Astrotricha biddulphiana,NA
Astrotricha brachyandra A.R.Bean,Astrotricha brachyandra,NA
Astrotricha cordata A.R.Bean,Astrotricha cordata,NA
Astrotricha crassifolia Blakely,Astrotricha crassifolia,NA
Astrotricha floccosa DC.,Astrotricha floccosa,NA
Astrotricha glabra Domin,Astrotricha glabra,NA
Astrotricha hamptonii F.Muell.,Astrotricha hamptonii,NA
Astrotricha intermedia A.R.Bean,Astrotricha intermedia,NA
Astrotricha latifolia Benth.,Astrotricha latifolia,NA
Astrotricha ledifolia DC.,Astrotricha ledifolia,NA
Astrotricha linearis A.Cunn. ex Benth.,Astrotricha linearis,NA
Astrotricha longifolia Benth.,Astrotricha longifolia,NA
Astrotricha obovata Makinson,Astrotricha obovata,NA
Astrotricha parvifolia N.A.Wakef.,Astrotricha parvifolia,NA
Astrotricha pauciflora A.R.Bean,Astrotricha pauciflora,NA
Astrotricha pterocarpa Benth.,Astrotricha pterocarpa,NA
Astrotricha roddii Makinson,Astrotricha roddii,NA
Astrotricha umbrosa A.R.Bean,Astrotricha umbrosa,NA
Cephalaralia cephalobotrys (F.Muell.) Harms,Cephalaralia cephalobotrys,NA
Hydrocotyle acutiloba (F.Muell.) N.A.Wakef.,Hydrocotyle acutiloba,NA
Hydrocotyle alata A.Rich.,Hydrocotyle alata,NA
Hydrocotyle algida N.A.Wakef.,Hydrocotyle algida,NA
Hydrocotyle asterocarpa A.J.Perkins,Hydrocotyle asterocarpa,NA
Hydrocotyle blepharocarpa F.Muell.,Hydrocotyle blepharocarpa,NA
Hydrocotyle callicarpa Bunge,Hydrocotyle callicarpa,NA
Hydrocotyle capillaris F.Muell. ex Klatt,Hydrocotyle capillaris,NA
Hydrocotyle comocarpa F.Muell.,Hydrocotyle comocarpa,NA
Hydrocotyle corynophora F.Muell.,Hydrocotyle corynophora,NA
Hydrocotyle crassiuscula Tate,Hydrocotyle crassiuscula,NA
Hydrocotyle decorata A.J.Perkins,Hydrocotyle decorata,NA
Hydrocotyle diantha DC.,Hydrocotyle diantha,NA
Hydrocotyle digitata A.R.Bean & Henwood,Hydrocotyle digitata,NA
Hydrocotyle dimorphocarpa A.J.Perkins,Hydrocotyle dimorphocarpa,NA
Hydrocotyle dipleura A.R.Bean,Hydrocotyle dipleura,NA
Hydrocotyle eichleri A.J.Perkins,Hydrocotyle eichleri,NA
Hydrocotyle foveolata H.Eichler,Hydrocotyle foveolata,NA
Hydrocotyle geraniifolia F.Muell.,Hydrocotyle geraniifolia,NA
Hydrocotyle grammatocarpa F.Muell.,Hydrocotyle grammatocarpa,NA
Hydrocotyle hirta R.Br. ex A.Rich.,Hydrocotyle hirta,NA
Hydrocotyle hispidula Bunge,Hydrocotyle hispidula,NA
Hydrocotyle laxiflora DC.,Hydrocotyle laxiflora,NA
Hydrocotyle lemnoides Benth.,Hydrocotyle lemnoides,NA
Hydrocotyle medicaginoides Turcz.,Hydrocotyle medicaginoides,NA
Hydrocotyle miranda A.R.Bean & Henwood,Hydrocotyle miranda,NA
Hydrocotyle muriculata Turcz.,Hydrocotyle muriculata,NA
Hydrocotyle muscosa R.Br. ex A.Rich.,Hydrocotyle muscosa,NA
Hydrocotyle novae-zeelandiae DC.,Hydrocotyle novae-zeelandiae,NA
Hydrocotyle oraria A.R.Bean,Hydrocotyle oraria,NA
Hydrocotyle paludosa A.R.Bean,Hydrocotyle paludosa,NA
Hydrocotyle papilionella A.J.Perkins,Hydrocotyle papilionella,NA
Hydrocotyle pedicellosa F.Muell. ex Benth.,Hydrocotyle pedicellosa,NA
Hydrocotyle perforata A.J.Perkins,Hydrocotyle perforata,NA
Hydrocotyle phoenix A.J.Perkins,Hydrocotyle phoenix,NA
Hydrocotyle pilifera Turcz.,Hydrocotyle pilifera,NA
Hydrocotyle plebeya R.Br. ex A.Rich.,Hydrocotyle plebeya,NA
Hydrocotyle pterocarpa F.Muell.,Hydrocotyle pterocarpa,NA
Hydrocotyle rivularis H.Eichler ex Henwood,Hydrocotyle rivularis,NA
Hydrocotyle rugulosa Turcz.,Hydrocotyle rugulosa,NA
Hydrocotyle scutellifera Benth.,Hydrocotyle scutellifera,NA
Hydrocotyle serendipita A.J.Perkins,Hydrocotyle serendipita,NA
Hydrocotyle sibthorpioides Lam.,Hydrocotyle sibthorpioides,NA
Hydrocotyle spinulifera A.J.Perkins,Hydrocotyle spinulifera,NA
Hydrocotyle striata Benth.,Hydrocotyle striata,NA
Hydrocotyle tetragonocarpa Bunge,Hydrocotyle tetragonocarpa,NA
Hydrocotyle trachycarpa F.Muell.,Hydrocotyle trachycarpa,NA
Hydrocotyle tripartita R.Br. ex A.Rich.,Hydrocotyle tripartita,NA
Hydrocotyle tuberculata A.J.Perkins,Hydrocotyle tuberculata,NA
Hydrocotyle tumida A.R.Bean & Henwood,Hydrocotyle tumida,NA
Hydrocotyle verticillata Thunb.,Hydrocotyle verticillata,NA
Mackinlaya confusa Hemsl.,Mackinlaya confusa,NA
Mackinlaya macrosciadea (F.Muell.) F.Muell.,Mackinlaya macrosciadea,NA
Meryta angustifolia (Endl.) Seem.,Meryta angustifolia,NA
Meryta latifolia (Endl.) Seem.,Meryta latifolia,NA
Motherwellia haplosciadea F.Muell.,Motherwellia haplosciadea,NA
Polyscias australiana (F.Muell.) Philipson,Polyscias australiana,NA
Polyscias bellendenkerensis (F.M.Bailey) Philipson,Polyscias bellendenkerensis,NA
Polyscias cissodendron (C.Moore & F.Muell.) Harms,Polyscias cissodendron,NA
Polyscias elegans (C.Moore & F.Muell.) Harms,Polyscias elegans,NA
Polyscias macgillivrayi (Seem.) Harms,Polyscias macgillivrayi,NA
Polyscias mollis (Benth.) Harms,Polyscias mollis,NA
Polyscias murrayi (F.Muell.) Harms,Polyscias murrayi,NA
Polyscias nodosa (Blume) Seem.,Polyscias nodosa,NA
Polyscias purpurea C.T.White,Polyscias purpurea,NA
Polyscias sambucifolia (Sieber ex DC.) Harms,Polyscias sambucifolia,NA
Polyscias scutellaria (Burm.f.) Fosberg,Polyscias scutellaria,NA
Polyscias spectabilis (Harms) Lowry & G.M.Plunkett,Polyscias spectabilis,NA
Polyscias willmottii (F.Muell.) Philipson,Polyscias willmottii,NA
Polyscias zippeliana (Miq.) Valeton,Polyscias zippeliana,NA
Pseudopanax gunnii (Hook.f.) K.Koch,Pseudopanax gunnii,NA
Schefflera actinophylla (Endl.) Harms,Schefflera actinophylla,NA
Schefflera bractescens Ridl.,Schefflera bractescens,NA
Schefflera elliptica (Blume) Harms,Schefflera elliptica,NA
Trachymene anisocarpa (Turcz.) B.L.Burtt,Trachymene anisocarpa,NA
Trachymene bialata (Domin) B.L.Burtt,Trachymene bialata,NA
Trachymene bivestita (Domin) L.A.S.Johnson,Trachymene bivestita,NA
Trachymene ceratocarpa (W.Fitzg.) Keighery & Rye,Trachymene ceratocarpa,NA
Trachymene clivicola Boyland & A.E.Holland,Trachymene clivicola,NA
Trachymene coerulea Graham,Trachymene coerulea,NA
Trachymene composita (Domin) B.L.Burtt,Trachymene composita,NA
Trachymene croniniana (F.Muell.) T.Durand & B.D.Jacks.,Trachymene croniniana,NA
Trachymene cussonii (Montrouz.) B.L.Burtt,Trachymene cussonii,NA
Trachymene cyanantha Boyland,Trachymene cyanantha,NA
Trachymene cyanopetala (F.Muell.) Benth.,Trachymene cyanopetala,NA
Trachymene dendrothrix Maconochie,Trachymene dendrothrix,NA
Trachymene didiscoides (F.Muell.) B.L.Burtt,Trachymene didiscoides,NA
Trachymene dusenii (Domin) F.M.Bailey,Trachymene dusenii,NA
Trachymene elachocarpa (F.Muell.) B.L.Burtt,Trachymene elachocarpa,NA
Trachymene geraniifolia F.M.Bailey,Trachymene geraniifolia,NA
Trachymene gilleniae (Tate) B.L.Burtt,Trachymene gilleniae,NA
Trachymene glandulosa (F.Muell.) Benth.,Trachymene glandulosa,NA
Trachymene glaucifolia (F.Muell.) Benth.,Trachymene glaucifolia,NA
Trachymene grandis (Turcz.) Rye,Trachymene grandis,NA
Trachymene hookeri (Domin) A.E.Holland,Trachymene hookeri,NA
Trachymene humilis (Hook.f.) Benth.,Trachymene humilis,NA
Trachymene incisa Rudge,Trachymene incisa,NA
Trachymene inflata Maconochie,Trachymene inflata,NA
Trachymene longipedunculata Maconochie,Trachymene longipedunculata,NA
Trachymene microcephala (Domin) B.L.Burtt,Trachymene microcephala,NA
Trachymene montana A.E.Holland,Trachymene montana,NA
Trachymene ochracea L.A.S.Johnson,Trachymene ochracea,NA
Trachymene oleracea (Domin) B.L.Burtt,Trachymene oleracea,NA
Trachymene ornata (Endl.) Druce,Trachymene ornata,NA
Trachymene pilbarensis Rye,Trachymene pilbarensis,NA
Trachymene pilosa Sm.,Trachymene pilosa,NA
Trachymene procumbens (F.Muell.) Benth.,Trachymene procumbens,NA
Trachymene psammophila Maconochie,Trachymene psammophila,NA
Trachymene pyrophila Rye,Trachymene pyrophila,NA
Trachymene rotundifolia (Benth.) Maconochie,Trachymene rotundifolia,NA
Trachymene scapigera (Domin) B.L.Burtt,Trachymene scapigera,NA
Trachymene tenuifolia (Domin) B.L.Burtt,Trachymene tenuifolia,NA
Trachymene thysanocarpa J.M.Hart,Trachymene thysanocarpa,NA
Trachymene umbratica J.M.Hart,Trachymene umbratica,NA
Trachymene villosa (F.Muell.) Benth.,Trachymene villosa,NA
Delarbrea michieana (F.Muell.) F.Muell.,Delarbrea michieana,NA
Pennantia cunninghamii Miers,Pennantia cunninghamii,NA
Pennantia endlicheri Reissek,Pennantia endlicheri,NA
"Auranticarpa edentata L.Cayzer, Crisp & I.Telford",Auranticarpa edentata,NA
"Auranticarpa ilicifolia L.Cayzer, Crisp & I.Telford",Auranticarpa ilicifolia,NA
"Auranticarpa melanosperma (F.Muell.) L.Cayzer, Crisp & I.Telford",Auranticarpa melanosperma,NA
"Auranticarpa papyracea L.Cayzer, Crisp & I.Telford",Auranticarpa papyracea,NA
"Auranticarpa resinosa (Domin) L.Cayzer, Crisp & I.Telford",Auranticarpa resinosa,NA
"Auranticarpa rhombifolia (A.Cunn. ex Hook.) L.Cayzer, Crisp & I.Telford",Auranticarpa rhombifolia,NA
Bentleya diminuta Crisp & J.M.Taylor,Bentleya diminuta,NA
Bentleya spinescens E.M.Benn.,Bentleya spinescens,NA
Billardiera coriacea Benth.,Billardiera coriacea,NA
Billardiera cymosa F.Muell.,Billardiera cymosa,NA
Billardiera drummondii (C.Morren) L.Cayzer & Crisp,Billardiera drummondii,NA
Billardiera floribunda (Putt.) F.Muell.,Billardiera floribunda,NA
"Billardiera fraseri (Hook.) L.Cayzer, Crisp & I.Telford",Billardiera fraseri,NA
Billardiera fusiformis Labill.,Billardiera fusiformis,NA
Billardiera heterophylla (Lindl.) L.Cayzer & Crisp,Billardiera heterophylla,NA
Billardiera laxiflora (Benth.) E.M.Benn.,Billardiera laxiflora,NA
Billardiera lehmanniana F.Muell.,Billardiera lehmanniana,NA
Billardiera longiflora Labill.,Billardiera longiflora,NA
Billardiera macrantha Hook.f.,Billardiera macrantha,NA
Billardiera mutabilis Salisb.,Billardiera mutabilis,NA
Billardiera nesophila L.Cayzer & D.L.Jones,Billardiera nesophila,NA
Billardiera ovalis Lindl.,Billardiera ovalis,NA
