species,cc,endemic,endemic_prob
Calytrix carinata,AU,def_endemic,def_endemic
Calytrix chrysantha,AU,def_endemic,def_endemic
Calytrix cravenii,AU,def_endemic,def_endemic
Calytrix creswellii,AU,def_endemic,def_endemic
Calytrix decandra,AU,def_endemic,def_endemic
Calytrix decussata,AU,def_endemic,def_endemic
Calytrix depressa,AU,def_endemic,def_endemic
Calytrix desolata,AU,def_endemic,def_endemic
Calytrix divergens,AU,def_endemic,def_endemic
Calytrix drummondii,AU,def_endemic,def_endemic
Calytrix duplistipulata,AU,def_endemic,def_endemic
Calytrix ecalycata,AU,def_endemic,def_endemic
Calytrix eneabbensis,AU,def_endemic,def_endemic
Calytrix erosipetala,AU,def_endemic,def_endemic
Calytrix exstipulata,AU,def_endemic,def_endemic
Calytrix faucicola,AU,def_endemic,def_endemic
Calytrix flavescens,AU,def_endemic,def_endemic
Calytrix formosa,AU,def_endemic,def_endemic
Calytrix fraseri,AU,def_endemic,def_endemic
Calytrix glaberrima,AU,def_endemic,def_endemic
Calytrix glutinosa,AU,def_endemic,def_endemic
Calytrix gomphrenoides,AU,def_endemic,def_endemic
Calytrix gracilis,AU,def_endemic,def_endemic
Calytrix gurulmundensis,AU,def_endemic,def_endemic
Calytrix gypsophila,AU,def_endemic,def_endemic
Calytrix habrantha,AU,def_endemic,def_endemic
Calytrix harvestiana,AU,def_endemic,def_endemic
Calytrix hirta,AU,def_endemic,def_endemic
Calytrix hislopii,AU,def_endemic,def_endemic
Calytrix inopinata,AU,def_endemic,def_endemic
Calytrix involucrata,AU,def_endemic,def_endemic
Calytrix islensis,AU,def_endemic,def_endemic
Calytrix leptophylla,AU,def_endemic,def_endemic
Calytrix leschenaultii,AU,def_endemic,def_endemic
Calytrix longiflora,AU,def_endemic,def_endemic
Calytrix megaphylla,AU,def_endemic,def_endemic
Calytrix merrelliana,AU,def_endemic,def_endemic
Calytrix micrairoides,AU,def_endemic,def_endemic
Calytrix microcoma,AU,def_endemic,def_endemic
Calytrix mimiana,AU,def_endemic,def_endemic
Calytrix nematoclada,AU,def_endemic,def_endemic
Calytrix oldfieldii,AU,def_endemic,def_endemic
Calytrix oncophylla,AU,def_endemic,def_endemic
Calytrix parvivallis,AU,def_endemic,def_endemic
Calytrix patrickiae,AU,def_endemic,def_endemic
Calytrix paucicostata,AU,def_endemic,def_endemic
Calytrix pimeleoides,AU,def_endemic,def_endemic
Calytrix platycheiridia,AU,def_endemic,def_endemic
Calytrix plumulosa,AU,def_endemic,def_endemic
Calytrix praecipua,AU,def_endemic,def_endemic
Calytrix pulchella,AU,def_endemic,def_endemic
Calytrix purpurea,AU,def_endemic,def_endemic
Calytrix retrorsifolia,AU,def_endemic,def_endemic
Calytrix rupestris,AU,def_endemic,def_endemic
Calytrix sagei,AU,def_endemic,def_endemic
Calytrix sapphirina,AU,def_endemic,def_endemic
Calytrix similis,AU,def_endemic,def_endemic
Calytrix simplex,AU,def_endemic,def_endemic
Calytrix smeatoniana,AU,def_endemic,def_endemic
Calytrix strigosa,AU,def_endemic,def_endemic
Calytrix superba,AU,def_endemic,def_endemic
Calytrix surdiviperana,AU,def_endemic,def_endemic
Calytrix sylvana,AU,def_endemic,def_endemic
Calytrix tenuiramea,AU,def_endemic,def_endemic
Calytrix tetragona,AU,def_endemic,def_endemic
Calytrix truncatifolia,AU,def_endemic,def_endemic
Calytrix uncinata,AU,def_endemic,def_endemic
Calytrix variabilis,AU,def_endemic,def_endemic
Calytrix verruculosa,AU,def_endemic,def_endemic
Calytrix verticillata,AU,def_endemic,def_endemic
Calytrix violacea,AU,def_endemic,def_endemic
Calytrix viscida,AU,def_endemic,def_endemic
Calytrix warburtonensis,AU,def_endemic,def_endemic
Camonea pilosa,AU_CN_MY,possible non-endemic--MY dist,probable non-endemic
Camptacra barbata,AU,def_endemic,def_endemic
Camptacra gracilis,AU_PG,probable non-endemic--PG dist,probable non-endemic
Camptostemon schultzii,AU_ID_PG,probable non-endemic--PG dist,probable non-endemic
Campynema lineare,AU,def_endemic,def_endemic
Cananga odorata,AU_BJ_BZ_CI_CN_CO_CR_DM_DO_EC_FJ_FM_GF_GH_GP_GT_GU_HN_ID_IN_MG_MX_MY_MZ_NC_NG_NI_PA_PF_PG_PH_PR_RE_SB_ST_TG_TH_TW_TZ_US_VU_WF_WS_YT,probable non-endemic--PG dist,probable non-endemic
Canarium acutifolium,AU_ID_PG,probable non-endemic--PG dist,probable non-endemic
Canarium australasicum,AU,def_endemic,def_endemic
Canarium australianum,AU_PG,probable non-endemic--PG dist,probable non-endemic
Canarium muelleri,AU,def_endemic,def_endemic
Canarium vitiense,AU_FJ_PG_TO_WS,probable non-endemic--PG dist,probable non-endemic
Canavalia cathartica,AU_BI_BJ_CD_CN_GH_ID_JP_KE_KI_LA_MY_PF_PG_PH_PW_RE_SG_SN_TG_TH_TW_TZ_UG_US_VN,probable non-endemic--PG dist,probable non-endemic
Canavalia papuana,AU_PG_TL,probable non-endemic--PG dist,probable non-endemic
Canavalia rosea,AO_AU_BB_BJ_BL_BM_BN_BQ_BR_BS_BZ_CD_CG_CI_CM_CO_CR_CU_CW_DO_EC_FJ_GA_GF_GH_GN_GP_GQ_GT_GU_GW_GY_HK_HN_ID_IN_JM_JP_KE_KM_KN_KY_LK_LR_MF_MG_MQ_MU_MV_MX_MY_MZ_NC_NI_NU_NZ_PA_PF_PG_PH_PR_RE_SG_SN_SR_ST_SV_SX_TC_TG_TH_TL_TW_US_VE_VG_VI_VN_VU_WF_WS_YT_ZA,probable non-endemic--PG dist,probable non-endemic
Canavalia sericea,AS_AU_CK_FJ_NC_PF_TO_US_VU,probable non-endemic--NC dist,probable non-endemic
Canscora diffusa,AU_BF_BJ_CD_CF_CI_CM_CN_CO_ET_GH_GN_IN_MG_ML_MM_NG_NP_PH_SD_SL_TG_TH,probable non-endemic--IN dist,probable non-endemic
Cansjera leptostachya,AU_ID_PG_TL,probable non-endemic--PG dist,probable non-endemic
Capillipedium parviflorum,AU_BR_BT_CN_ID_IN_JP_KP_KR_LA_MY_OM_PG_PH_TH_TL_TW_TZ_VN,probable non-endemic--PG dist,probable non-endemic
Capillipedium spicigerum,AU_CN_JP_NC_PG,probable non-endemic--PG dist,probable non-endemic
Capparis arborea,AU,def_endemic,def_endemic
Capparis batianoffii,AU,def_endemic,def_endemic
Capparis canescens,AU,def_endemic,def_endemic
Capparis humistrata,AU,def_endemic,def_endemic
Capparis jacobsii,AU,def_endemic,def_endemic
Capparis lanceolaris,AU_ID_PG_PH_TW,probable non-endemic--PG dist,probable non-endemic
Capparis lasiantha,AU,def_endemic,def_endemic
Capparis loranthifolia,AU,def_endemic,def_endemic
Capparis lucida,AU_ID_PG,probable non-endemic--PG dist,probable non-endemic
Capparis mitchellii,AU,def_endemic,def_endemic
Capparis ornans,AU,def_endemic,def_endemic
Capparis quiniflora,AU_ID_NC_PG,probable non-endemic--PG dist,probable non-endemic
Capparis sarmentosa,AU,def_endemic,def_endemic
Capparis sepiaria,AU_BF_BJ_CF_CM_CN_ET_ID_IN_KE_LK_MG_ML_MR_MZ_NE_NG_PG_RW_SN_SS_TD_TG_TH_TL_TZ_UG_ZA_ZW,probable non-endemic--PG dist,probable non-endemic
Capparis shanesiana,AU,def_endemic,def_endemic
Capparis spinosa,AE_AF_AM_AU_AZ_BR_CH_CN_CY_DJ_DZ_EG_ES_ET_FR_GE_GR_HR_IL_IN_IQ_IR_IT_JO_KE_KG_KZ_LB_MA_ME_MG_MT_OM_PK_PS_RU_SA_SD_SI_SY_TD_TF_TJ_TN_TR_UA_US_UZ_YE,probable non-endemic--IN dist,probable non-endemic
Capparis thozetiana,AU,def_endemic,def_endemic
Capparis umbonata,AU,def_endemic,def_endemic
Capparis velutina,AU,def_endemic,def_endemic
Carallia brachiata,AU_BN_CN_HK_ID_IN_KH_LA_MG_MM_MY_PG_PH_SG_TH_TL_VN,probable non-endemic--PG dist,probable non-endemic
Cardamine astoniae,AU,def_endemic,def_endemic
Cardamine corymbosa,AU_BE_CA_DE_FI_GB_NL_NZ_US,possible non-endemic--NZ dist,probable non-endemic
Cardamine franklinensis,AU,def_endemic,def_endemic
Cardamine gunnii,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Cardamine lilacina,AU,def_endemic,def_endemic
Cardamine lineariloba,AU,def_endemic,def_endemic
Cardamine microthrix,AU,def_endemic,def_endemic
Cardamine moirensis,AU,def_endemic,def_endemic
Cardamine papillata,AU,def_endemic,def_endemic
Cardamine paucijuga,AU,def_endemic,def_endemic
Cardamine robusta,AU,def_endemic,def_endemic
Cardamine tenuifolia,AU_NL_RU,possible endemic--strange dist,likely_endemic
Cardamine tryssa,AU,def_endemic,def_endemic
Cardiopteris moluccana,AU_CN_ID_PG_PH,probable non-endemic--PG dist,probable non-endemic
Cardwellia sublimis,AU,def_endemic,def_endemic
Carex alsophila,AU,def_endemic,def_endemic
Carex appressa,AU_GB_NC_NZ_PG,probable non-endemic--PG dist,probable non-endemic
Carex archeri,AU,def_endemic,def_endemic
Carex austrocompacta,AU_MY_PG_SH_TF_ZA,probable non-endemic--PG dist,probable non-endemic
Carex austrosulcata,AU,def_endemic,def_endemic
Carex austrotenella,AU,def_endemic,def_endemic
Carex barbata,AU,def_endemic,def_endemic
Carex bichenoviana,AU,def_endemic,def_endemic
Carex blakei,AU,def_endemic,def_endemic
Carex breviculmis,AU_CN_ID_JP_KR_MY_NF_NP_NZ_PG_RU_TW_US,probable non-endemic--PG dist,probable non-endemic
Carex breviscapa,AU_ID_JP_TH,probable non-endemic--ID dist,probable non-endemic
Carex brownii,AU_CN_JP_KP_KR_NZ_PG,probable non-endemic--PG dist,probable non-endemic
Carex brunnea,AU_CN_EE_FJ_GB_ID_JP_NC_NL_PG_PH_PK_RE_TW,probable non-endemic--PG dist,probable non-endemic
Carex canescens,AD_AM_AR_AT_AU_BE_BG_BY_CA_CH_CL_CN_CZ_DE_DK_EE_ES_FI_FK_FR_GB_GE_GL_IE_IS_IT_JP_KP_KR_LI_LT_LV_MN_NL_NO_PG_PL_PM_RU_SE_SK_UA_US,probable non-endemic--PG dist,probable non-endemic
Carex cataractae,AU,def_endemic,def_endemic
Carex cheesemanniana,AU_NZ_PG,probable non-endemic--PG dist,probable non-endemic
Carex chlorantha,AU,def_endemic,def_endemic
Carex cryptostachys,AU_CN_ID_MY_PG_TH_VN,probable non-endemic--PG dist,probable non-endemic
Carex debilior,AU_PG,probable non-endemic--PG dist,probable non-endemic
Carex declinata,AU,def_endemic,def_endemic
Carex echinata,AT_AU_BA_BE_BG_BY_CA_CH_CN_CZ_DE_DK_EE_ES_FI_FR_GB_GR_HU_ID_IE_IS_IT_JP_KP_LV_MA_MX_NL_NO_NZ_PG_PL_PM_PT_RU_SE_SI_SK_TR_UA_US,probable non-endemic--PG dist,probable non-endemic
Carex edura,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Carex erebus,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Carex fascicularis,AU_FI_GB_NZ,possible non-endemic--NZ dist,probable non-endemic
Carex flaviformis,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Carex gaudichaudiana,AU_ID_NZ_PG,probable non-endemic--PG dist,probable non-endemic
Carex gunniana,AU,def_endemic,def_endemic
Carex hebes,AU,def_endemic,def_endemic
Carex horsfieldii,AU_ID_PG_TH,probable non-endemic--PG dist,probable non-endemic
Carex hubbardii,AU,def_endemic,def_endemic
Carex hypandra,AU,def_endemic,def_endemic
Carex incomitata,AU,def_endemic,def_endemic
Carex indica,AU_ID_LA_MY_NC_PG_TH_VN,probable non-endemic--PG dist,probable non-endemic
Carex inversa,AU_NZ_US,possible non-endemic--NZ dist,probable non-endemic
Carex iynx,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Carex jackiana,AU_ID_JP_KR_RU,probable non-endemic--ID dist,probable non-endemic
Carex klaphakei,AU,def_endemic,def_endemic
Carex lobolepis,AU,def_endemic,def_endemic
Carex longebrachiata,AU_GB_NZ,possible non-endemic--NZ dist,probable non-endemic
Carex lophocarpa,AU,def_endemic,def_endemic
Carex maculata,AU_CN_ID_JP_KR_NC_PG_TH,probable non-endemic--PG dist,probable non-endemic
Carex nemoralis,AU,def_endemic,def_endemic
Carex phacota,CN_ID_JP_KP_KR_PG_TW_VN,probable non-endemic--PG dist,probable non-endemic
Carex polyantha,AU_GB,likely_endemic,likely_endemic
Carex preissii,AU,def_endemic,def_endemic
Carex pseudocyperus,,,NA
Carex pumila,AU_CN_JP_KP_KR_NZ_RU_TW,possible non-endemic--NZ dist,probable non-endemic
Carex pyrenaica,AD_AM_CA_ES_FR_JP_MX_NZ_RU_US,possible non-endemic--NZ dist,probable non-endemic
Carex rafflesiana,AU_ID_MY_PG_PH,probable non-endemic--PG dist,probable non-endemic
Carex raleighii,AU,def_endemic,def_endemic
Carex rara,CN_JP_KP_KR_NP,possible non-endemic--CN dist,probable non-endemic
Carex subtilis,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Carex tasmanica,AU,def_endemic,def_endemic
Carex tereticaulis,AU,def_endemic,def_endemic
Carex trifida,AU_FK_NZ,possible non-endemic--NZ dist,probable non-endemic
Carex umbricola,AU_PG,probable non-endemic--PG dist,probable non-endemic
Carinavalva glauca,AU,def_endemic,def_endemic
Carissa ovata,AU_NC,probable non-endemic--NC dist,probable non-endemic
Carissa spinarum,AU,def_endemic,def_endemic
Carmichaelia exsul,AU,def_endemic,def_endemic
Carnarvonia araliifolia,AU,def_endemic,def_endemic
Carpentaria acuminata,AU,def_endemic,def_endemic
Carpha alpina,AR_AU_CL_ID_NZ_PG,probable non-endemic--PG dist,probable non-endemic
Carpha curvata,AU,def_endemic,def_endemic
Carpha nivicola,AU,def_endemic,def_endemic
Carpha rodwayi,AU,def_endemic,def_endemic
Carpobrotus glaucescens,AU_ES_FR_GB,possible endemic--strange dist,likely_endemic
Carpobrotus modestus,AU,def_endemic,def_endemic
Carpobrotus rossii,AU,def_endemic,def_endemic
Carpobrotus virescens,AU,def_endemic,def_endemic
Carronia multisepalea,AU,def_endemic,def_endemic
Carronia pedicellata,AU,def_endemic,def_endemic
Carronia protensa,AU,def_endemic,def_endemic
Cartonema baileyi,AU,def_endemic,def_endemic
Cartonema brachyantherum,AU,def_endemic,def_endemic
Cartonema parviflorum,AU,def_endemic,def_endemic
Cartonema philydroides,AU,def_endemic,def_endemic
Cartonema spicatum,AU,def_endemic,def_endemic
Cartonema tenue,AU,def_endemic,def_endemic
Cartonema trigonospermum,AU,def_endemic,def_endemic
Caryota albertii,AU_PG,probable non-endemic--PG dist,probable non-endemic
Casearia costulata,AU,def_endemic,def_endemic
Casearia dallachii,AU,def_endemic,def_endemic
Casearia grayi,AU,def_endemic,def_endemic
Casearia grewiifolia,AU_BN_ID_KH_MY_PG_PH_TH_TL_VN,probable non-endemic--PG dist,probable non-endemic
Casearia multinervosa,AU,def_endemic,def_endemic
Cassia brewsteri,AU,def_endemic,def_endemic
Cassia marksiana,AU,def_endemic,def_endemic
Cassia queenslandica,AU,def_endemic,def_endemic
Cassia tomentella,AU,def_endemic,def_endemic
Cassinia accipitrum,AU,def_endemic,def_endemic
Cassinia aculeata,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Cassinia arcuata,AU,def_endemic,def_endemic
Cassinia aureo-nitens,AU,def_endemic,def_endemic
Cassinia cinerea,AU,def_endemic,def_endemic
Cassinia collina,AU,def_endemic,def_endemic
Cassinia compacta,AU,def_endemic,def_endemic
Cassinia complanata,AU,def_endemic,def_endemic
Cassinia copensis,AU,def_endemic,def_endemic
Cassinia cunninghamii,AU,def_endemic,def_endemic
Cassinia decipiens,AU,def_endemic,def_endemic
Cassinia denticulata,AU,def_endemic,def_endemic
Cassinia diminuta,AU,def_endemic,def_endemic
Cassinia furtiva,,,NA
Cassinia heleniae,AU,def_endemic,def_endemic
Cassinia hewsoniae,AU,def_endemic,def_endemic
Cassinia laevis,AU,def_endemic,def_endemic
Cassinia lepschii,AU,def_endemic,def_endemic
Cassinia leptocephala,AU,def_endemic,def_endemic
Cassinia longifolia,AU,def_endemic,def_endemic
Cassinia macrocephala,AU,def_endemic,def_endemic
Cassinia maritima,AU,def_endemic,def_endemic
Cassinia monticola,AU,def_endemic,def_endemic
Cassinia nivalis,AU,def_endemic,def_endemic
Cassinia ochracea,AU,def_endemic,def_endemic
Cassinia ozothamnoides,AU,def_endemic,def_endemic
Cassinia petrapendula,AU,def_endemic,def_endemic
Cassinia quinquefaria,AU,def_endemic,def_endemic
Cassinia rugata,AU,def_endemic,def_endemic
Cassinia scabrida,AU,def_endemic,def_endemic
Cassinia sifton,AU,def_endemic,def_endemic
Cassinia storyi,,,NA
Cassinia straminea,AU,def_endemic,def_endemic
Cassinia subtropica,AU,def_endemic,def_endemic
Cassinia tegulata,AU,def_endemic,def_endemic
Cassinia telfordii,AU,def_endemic,def_endemic
Cassinia tenuifolia,AU,def_endemic,def_endemic
Cassinia tenuis,AU,def_endemic,def_endemic
Cassinia theodori,AU,def_endemic,def_endemic
Cassinia theresae,AU,def_endemic,def_endemic
Cassinia thinicola,AU,def_endemic,def_endemic
Cassinia trinerva,AU,def_endemic,def_endemic
Cassinia uncata,AU,def_endemic,def_endemic
Cassinia venusta,AU,def_endemic,def_endemic
Cassinia wilsoniae,AU,def_endemic,def_endemic
Cassinia wyberbensis,AU,def_endemic,def_endemic
Cassytha aurea,AU,def_endemic,def_endemic
Cassytha candida,AU,def_endemic,def_endemic
Cassytha capillaris,AU_ID_TH,probable non-endemic--ID dist,probable non-endemic
Cassytha filiformis,AO_AU_BF_BI_BJ_BN_BO_BR_BS_BZ_CD_CI_CK_CM_CN_CO_CR_CU_DO_ET_FJ_FM_GA_GF_GH_GM_GN_GP_GQ_GT_GU_GW_GY_HK_HN_HT_ID_IN_JP_KE_KH_KI_KY_LA_LR_MG_ML_MQ_MU_MV_MW_MX_MY_MZ_NC_NG_NI_PA_PF_PG_PH_PN_PR_PW_RE_SB_SC_SG_SL_SN_SR_TF_TG_TH_TL_TO_TT_TW_TZ_US_VE_VI_VN_VU_WF_YE_YT_ZA_ZM,probable non-endemic--PG dist,probable non-endemic
Cassytha flava,AU,def_endemic,def_endemic
Cassytha flindersii,AU,def_endemic,def_endemic
Cassytha glabella,AU,def_endemic,def_endemic
Cassytha melantha,AU,def_endemic,def_endemic
Cassytha micrantha,AU,def_endemic,def_endemic
Cassytha muelleri,AU,def_endemic,def_endemic
Cassytha nodiflora,AU,def_endemic,def_endemic
Cassytha paniculata,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Cassytha pedicellosa,AU,def_endemic,def_endemic
Cassytha peninsularis,AU,def_endemic,def_endemic
Cassytha phaeolasia,AU,def_endemic,def_endemic
Cassytha pomiformis,AU,def_endemic,def_endemic
Cassytha pubescens,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Cassytha racemosa,AU,def_endemic,def_endemic
Cassytha rufa,AU,def_endemic,def_endemic
Castanospermum australe,AU_BR_GH_IN_NC_NZ_PG_US_VU_ZA,probable non-endemic--PG dist,probable non-endemic
Castanospora alphandii,AU,def_endemic,def_endemic
Casuarina cristata,AU_BR,likely_endemic,likely_endemic
Casuarina cunninghamiana,AR_AU_BI_BO_BR_BZ_CD_CN_CR_ES_FR_GT_HN_JP_MX_NZ_RE_TW_TZ_US_UY_ZA,possible non-endemic--NZ dist,probable non-endemic
Casuarina equisetifolia,AR_AU_BB_BJ_BM_BR_BS_BZ_CD_CI_CK_CM_CN_CO_CU_CY_DO_DZ_EC_ES_FJ_FR_GA_GM_GR_GT_GU_HK_HN_ID_IN_JM_JP_KE_KI_KN_KY_LC_MF_MG_MP_MQ_MU_MX_MY_MZ_NC_NG_NI_PA_PE_PF_PG_PH_PR_PT_PW_RE_SB_SC_SG_SL_SN_SV_TC_TF_TG_TH_TN_TO_TR_TT_TW_TZ_US_VG_VI_VN_VU_WF_YT_ZA,probable non-endemic--PG dist,probable non-endemic
Casuarina glauca,AU_HN_NZ_RE_TW_US,possible non-endemic--NZ dist,probable non-endemic
Casuarina obesa,AU,def_endemic,def_endemic
Casuarina pauper,AU,def_endemic,def_endemic
Catacolea enodis,AU,def_endemic,def_endemic
Catalepidia heyana,AU,def_endemic,def_endemic
Cathormion umbellatum,AU_ID_LK_PG_TH_TL,probable non-endemic--PG dist,probable non-endemic
Causonis clematidea,AU,def_endemic,def_endemic
Causonis eurynema,AU,def_endemic,def_endemic
Causonis maritima,AU_ID_MY_PG_SB,probable non-endemic--PG dist,probable non-endemic
Causonis trifolia,AU_BN_FM_ID_IN_MY_NC_PG_PH_PW_SG_TH_TL_US_VN_VU,probable non-endemic--PG dist,probable non-endemic
Caustis blakei,AU,def_endemic,def_endemic
Caustis deserti,AU,def_endemic,def_endemic
Caustis dioica,AU,def_endemic,def_endemic
Caustis flexuosa,AU,def_endemic,def_endemic
Caustis gigas,AU,def_endemic,def_endemic
Caustis pentandra,AU,def_endemic,def_endemic
Caustis recurvata,AU,def_endemic,def_endemic
Cayratia acris,AU,def_endemic,def_endemic
Cayratia cardiophylla,AU_ID_PG_TL,probable non-endemic--PG dist,probable non-endemic
Cayratia japonica,AU_CN_HK_JP_PG_TW_US,probable non-endemic--PG dist,probable non-endemic
Cayratia pedata,CN_ID_IN_LK_PH_TH,probable non-endemic--ID dist,probable non-endemic
Cayratia saponaria,AU_ID_PG_SB,probable non-endemic--PG dist,probable non-endemic
Cecarria obtusifolia,AU_PG_PH,probable non-endemic--PG dist,probable non-endemic
Celastrus australis,AU,def_endemic,def_endemic
Celastrus paniculatus,AU_CN_ID_IN_LA_LK_MM_NC_NP_PH_TH_TW_VE,probable non-endemic--NC dist,probable non-endemic
Celastrus subspicatus,AU,def_endemic,def_endemic
Celmisia asteliifolia,AU,def_endemic,def_endemic
Celmisia costiniana,AU,def_endemic,def_endemic
Celmisia latifolia,AU,def_endemic,def_endemic
Celmisia longifolia,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Celmisia pugioniformis,AU,def_endemic,def_endemic
Celmisia saxifraga,AU,def_endemic,def_endemic
Celmisia sericophylla,AU,def_endemic,def_endemic
Celmisia tomentella,AU,def_endemic,def_endemic
Celtis conferta,AU_NC,probable non-endemic--NC dist,probable non-endemic
Celtis hildebrandii,AU_ID_PG,probable non-endemic--PG dist,probable non-endemic
Celtis paniculata,AU_ID_NC_PW_VU,probable non-endemic--NC dist,probable non-endemic
Celtis philippensis,AO_AU_BJ_CD_CF_CI_CM_CN_ET_GA_GH_GQ_ID_IN_LK_MG_MY_MZ_NG_PG_PH_ST_TG_TH_TL_TW_TZ_UG_VN_YT,probable non-endemic--PG dist,probable non-endemic
Celtis timorensis,AU_CN_IN_MY_TH_VN,probable non-endemic--IN dist,probable non-endemic
Cenarrhenes nitida,AU,def_endemic,def_endemic
Cenchrus alopecuroides,AU_BE_CN_ES_ID_JP_NL_NZ_US,probable non-endemic--ID dist,probable non-endemic
Cenchrus arnhemicus,AU,def_endemic,def_endemic
Cenchrus basedowii,AU,def_endemic,def_endemic
Cenchrus brevisetosus,AU,def_endemic,def_endemic
Cenchrus caliculatus,AU_CN_NC_NZ_PF_PG,probable non-endemic--PG dist,probable non-endemic
Cenchrus elymoides,AU,def_endemic,def_endemic
Cenchrus purpurascens,AU,def_endemic,def_endemic
Cenchrus robustus,AU,def_endemic,def_endemic
Centella asiatica,AR_AU_BF_BI_BJ_BO_BR_BS_BW_BZ_CD_CI_CL_CM_CN_CO_CU_DM_DO_ET_FM_GA_GH_GN_GQ_GT_HK_HT_ID_IN_JM_JP_KE_KR_KY_LA_LK_LR_MG_MH_MM_MP_MU_MW_MX_MY_MZ_NC_NG_NL_NP_PF_PG_PH_PK_PR_RE_RW_SG_SH_SN_ST_SZ_TG_TH_TW_TZ_UG_US_UY_VN_VU_WS_YE_YT_ZA_ZM_ZW,probable non-endemic--PG dist,probable non-endemic
Centella uniflora,NZ,possible non-endemic--NZ dist,probable non-endemic
Centipeda borealis,AU_ID_PG,probable non-endemic--PG dist,probable non-endemic
Centipeda crateriformis,AU,def_endemic,def_endemic
Centipeda cunninghamii,AU_ES_NZ_PT,possible non-endemic--NZ dist,probable non-endemic
Centipeda elatinoides,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Centipeda minima,AU_CN_EC_ID_IN_JP_KP_KR_NC_NZ_PG_TH_TW,probable non-endemic--PG dist,probable non-endemic
Centipeda nidiformis,AU,def_endemic,def_endemic
Centipeda pleiocephala,AU,def_endemic,def_endemic
Centipeda racemosa,AU,def_endemic,def_endemic
Centipeda thespidioides,AU,def_endemic,def_endemic
Centotheca lappacea,AU_BJ_CD_CF_CG_CI_CK_CM_CN_FM_GA_GH_GN_GQ_GW_ID_LA_LR_MG_MM_MY_NC_NG_PF_PG_PH_SB_SL_SN_ST_TH_TW_VN_WF,probable non-endemic--PG dist,probable non-endemic
Centotheca philippinensis,AU_PG_PH,probable non-endemic--PG dist,probable non-endemic
Centranthera cochinchinensis,AU_CN_JP_KR_PG_TH_TW,probable non-endemic--PG dist,probable non-endemic
Centranthera tranquebarica,AU_BN_CN_LA_LK_MY_TH,possible non-endemic--TH dist,probable non-endemic
Centratherum riparium,AU,def_endemic,def_endemic
Centrolepis alepyroides,AU,def_endemic,def_endemic
Centrolepis aristata,AU,def_endemic,def_endemic
Centrolepis banksii,AU,def_endemic,def_endemic
Centrolepis caespitosa,AU,def_endemic,def_endemic
Centrolepis cephaloformis,AU,def_endemic,def_endemic
Centrolepis curta,AU,def_endemic,def_endemic
Centrolepis drummondiana,AU,def_endemic,def_endemic
Centrolepis eremica,AU,def_endemic,def_endemic
Centrolepis exserta,AU,def_endemic,def_endemic
Centrolepis fascicularis,AU_ID,probable non-endemic--ID dist,probable non-endemic
Centrolepis glabra,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Centrolepis humillima,AU,def_endemic,def_endemic
Centrolepis inconspicua,AU,def_endemic,def_endemic
Centrolepis milleri,AU,def_endemic,def_endemic
Centrolepis monogyna,AU,def_endemic,def_endemic
Centrolepis muscoides,AU,def_endemic,def_endemic
Centrolepis mutica,AU,def_endemic,def_endemic
Centrolepis pedderensis,AU,def_endemic,def_endemic
Centrolepis pilosa,AU,def_endemic,def_endemic
Centrolepis polygyna,AU,def_endemic,def_endemic
Centrolepis racemosa,,,NA
Centrolepis strigosa,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Centropappus brunonis,AU,def_endemic,def_endemic
Ceodes grandis,AU_ID_NC_PF_PN,probable non-endemic--NC dist,probable non-endemic
Ceodes umbellata,AU_CN_ID_MY_NZ_PF_PG_PH_TH_TL_TW_US_VU_WS,probable non-endemic--PG dist,probable non-endemic
Cephalaralia cephalobotrys,AU,def_endemic,def_endemic
Cephalipterum drummondii,AU,def_endemic,def_endemic
Cephalomanes atrovirens,AU_FJ_FM_ID_MY_PG_PH_SB_VU_WF,probable non-endemic--PG dist,probable non-endemic
Cephalosorus carpesioides,AU,def_endemic,def_endemic
Cephalotus follicularis,AU,def_endemic,def_endemic
Ceratogyne obionoides,AU,def_endemic,def_endemic
Ceratopetalum apetalum,AU,def_endemic,def_endemic
Ceratopetalum corymbosum,AU,def_endemic,def_endemic
Ceratopetalum gummiferum,AU_ZA,likely_endemic,likely_endemic
Ceratopetalum hylandii,AU,def_endemic,def_endemic
Ceratopetalum iugumense,AU,def_endemic,def_endemic
Ceratopetalum macrophyllum,AU,def_endemic,def_endemic
Ceratopetalum succirubrum,AU_ID_PG,probable non-endemic--PG dist,probable non-endemic
Ceratopetalum virchowii,AU,def_endemic,def_endemic
